# HELP confluent_kafka_server_request_bytes The delta count of total request bytes from the specified request types sent over the network. Each sample is the number of bytes sent since the previous data point. The count is sampled every 60 seconds.
# TYPE confluent_kafka_server_request_bytes gauge
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="u-41wgqz",type="Fetch",} 754021.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="sa-4n5jjk",type="FindCoordinator",} 0.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="u-41wgqz",type="FindCoordinator",} 223849.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="sa-4n5jjk",type="Heartbeat",} 347952.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="sa-55qzrq",type="Heartbeat",} 12480.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="u-41wgqz",type="Heartbeat",} 1920.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="sa-4n5jjk",type="InitProducerId",} 0.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="sa-4n5jjk",type="JoinGroup",} 0.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="u-41wgqz",type="ListGroups",} 49776.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="u-41wgqz",type="ListMirrors",} 0.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="u-41wgqz",type="ListOffsets",} 2304622.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="sa-4n5jjk",type="Metadata",} 305255.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="sa-55qzrq",type="Metadata",} 10231.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="sa-v6mz90",type="Metadata",} 2457.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="u-41wgqz",type="Metadata",} 3846815.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="sa-4n5jjk",type="OffsetCommit",} 2799229.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="u-41wgqz",type="OffsetCommit",} 0.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="sa-4n5jjk",type="OffsetFetch",} 0.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="u-41wgqz",type="OffsetFetch",} 907283.0 1695319020000
confluent_kafka_server_response_bytes{kafka_id="lkc-zyq5d",principal_id="sa-4n5jjk",type="OffsetForLeaderEpoch",} 0.0 1695319020000
